Latitude (decimal degrees):	6.524
Longitude (decimal degrees):	3.379
Elevation (m):	16
Radiation database:	PVGIS-SARAH3


Slope: 15 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190712:1006,116.7,161.74,60.3,23.77,2.0,0.0
20190712:1106,74.94,110.46,71.09,23.88,1.17,0.0
20190712:1206,53.76,83.83,74.12,23.79,0.83,0.0
20190712:1306,63.1,95.67,66.21,23.85,0.9,0.0
20190712:1406,154.04,208.1,53.98,23.88,1.38,0.0
20190712:1506,82.95,120.32,40.56,23.83,1.52,0.0
20190712:1606,95.22,135.62,26.77,23.98,1.79,0.0
20190712:1706,19.45,38.46,12.87,24.16,2.41,0.0
20190712:1806,0.0,0.0,0.0,24.07,2.69,0.0
20190712:1906,0.0,0.0,0.0,24.21,2.97,0.0
20190712:2006,0.0,0.0,0.0,24.23,3.17,0.0
20190712:2106,0.0,0.0,0.0,24.23,3.24,0.0
20190712:2206,0.0,0.0,0.0,24.18,2.97,0.0
20190712:2306,0.0,0.0,0.0,24.25,2.83,0.0
20190713:0006,0.0,0.0,0.0,24.04,2.9,0.0
20190713:0106,0.0,0.0,0.0,23.9,2.9,0.0
20190713:0206,0.0,0.0,0.0,23.89,2.97,0.0
20190713:0306,0.0,0.0,0.0,23.89,2.9,0.0
20190713:0406,0.0,0.0,0.0,23.81,2.62,0.0
20190713:0506,0.0,0.0,0.0,23.76,2.48,0.0
20190713:0606,15.29,32.8,5.84,23.48,2.28,0.0
20190713:0706,112.05,160.99,19.75,24.4,2.14,0.0
20190713:0806,246.82,325.94,33.63,25.3,2.07,0.0
20190713:0906,384.32,499.64,47.31,25.89,2.21,0.0
20190713:1006,466.44,609.56,60.34,26.5,2.34,0.0
20190713:1106,642.5,843.76,71.18,26.83,2.9,0.0
20190713:1206,669.94,874.59,74.27,26.8,3.66,0.0
20190713:1306,621.05,801.39,66.32,26.37,4.07,0.0
20190713:1406,466.57,599.34,54.05,26.45,4.21,0.0
20190713:1506,388.64,499.38,40.62,26.34,4.62,0.0
20190713:1606,223.5,305.15,26.81,25.85,4.62,0.0
20190713:1706,59.42,111.27,12.89,25.63,4.41,0.0
20190713:1806,0.0,0.0,0.0,25.26,3.93,0.0
20190713:1906,0.0,0.0,0.0,25.02,3.1,0.0
20190713:2006,0.0,0.0,0.0,24.96,2.9,0.0
20190713:2106,0.0,0.0,0.0,24.9,2.69,0.0
20190713:2206,0.0,0.0,0.0,24.81,2.34,0.0
20190713:2306,0.0,0.0,0.0,24.75,2.14,0.0
20190714:0006,0.0,0.0,0.0,24.64,2.0,0.0
20190714:0106,0.0,0.0,0.0,24.5,2.0,0.0
20190714:0206,0.0,0.0,0.0,24.35,1.93,0.0
20190714:0306,0.0,0.0,0.0,24.13,1.86,0.0
20190714:0406,0.0,0.0,0.0,23.99,1.93,0.0
20190714:0506,0.0,0.0,0.0,23.81,2.07,0.0
20190714:0606,14.12,31.44,5.8,23.96,2.14,0.0
20190714:0706,129.18,188.98,19.72,24.53,3.17,0.0
20190714:0806,282.8,370.31,33.62,25.19,3.24,0.0
20190714:0906,450.24,581.08,47.32,26.1,2.9,0.0
20190714:1006,530.12,691.79,60.38,27.13,2.83,0.0
20190714:1106,578.17,760.13,71.28,27.65,2.97,0.0
20190714:1206,568.09,744.44,74.42,27.88,3.52,0.0
20190714:1306,641.28,833.67,66.43,27.85,4.21,0.0
20190714:1406,382.64,496.19,54.13,27.96,4.62,0.0
20190714:1506,401.33,518.56,40.67,27.74,4.69,0.0
20190714:1606,170.27,232.03,26.84,27.11,4.62,0.0
20190714:1706,59.79,98.98,12.91,26.45,4.48,0.0
20190714:1806,0.0,0.0,0.0,25.91,4.14,0.0
20190714:1906,0.0,0.0,0.0,25.53,3.52,0.0
20190714:2006,0.0,0.0,0.0,25.4,3.72,0.0
20190714:2106,0.0,0.0,0.0,25.29,3.38,0.0
20190714:2206,0.0,0.0,0.0,25.24,2.97,0.0
20190714:2306,0.0,0.0,0.0,25.13,2.97,0.0
20190715:0006,0.0,0.0,0.0,25.09,3.1,0.0
20190715:0106,0.0,0.0,0.0,25.0,3.17,0.0
20190715:0206,0.0,0.0,0.0,24.95,3.31,0.0
20190715:0306,0.0,0.0,0.0,24.9,3.45,0.0
20190715:0406,0.0,0.0,0.0,24.83,3.52,0.0
20190715:0506,0.0,0.0,0.0,24.77,3.24,0.0
20190715:0606,12.37,28.3,5.76,24.56,3.1,0.0
20190715:0706,94.29,136.27,19.7,24.96,3.79,0.0
20190715:0806,39.79,66.08,33.61,25.3,4.21,0.0
20190715:0906,241.33,314.7,47.33,25.53,4.83,0.0
20190715:1006,294.33,380.83,60.43,25.69,4.83,0.0
20190715:1106,132.93,182.46,71.39,26.04,4.83,0.0
20190715:1206,356.36,460.24,74.57,25.96,4.48,0.0
20190715:1306,437.7,563.01,66.54,25.83,4.34,0.0
20190715:1406,328.11,422.66,54.2,25.74,4.76,0.0
20190715:1506,43.55,71.01,40.72,25.56,4.97,0.0
20190715:1606,42.03,69.04,26.88,25.56,4.97,0.0
20190715:1706,20.04,39.45,12.93,25.38,4.9,0.0
20190715:1806,0.0,0.0,0.0,25.22,4.62,0.0
20190715:1906,0.0,0.0,0.0,24.87,4.07,0.0
20190715:2006,0.0,0.0,0.0,24.77,3.72,0.0
20190715:2106,0.0,0.0,0.0,24.75,3.38,0.0
20190715:2206,0.0,0.0,0.0,24.73,3.17,0.0
20190715:2306,0.0,0.0,0.0,24.71,3.1,0.0
20190716:0006,0.0,0.0,0.0,24.66,2.97,0.0
20190716:0106,0.0,0.0,0.0,24.62,2.9,0.0
20190716:0206,0.0,0.0,0.0,24.45,2.83,0.0
20190716:0306,0.0,0.0,0.0,24.47,2.97,0.0
20190716:0406,0.0,0.0,0.0,24.26,2.83,0.0
20190716:0506,0.0,0.0,0.0,24.01,2.48,0.0
20190716:0606,3.09,12.82,5.72,24.0,2.55,0.0
20190716:0706,47.6,75.94,19.67,24.11,2.07,0.0
20190716:0806,143.36,195.3,33.61,24.96,2.41,0.0
20190716:0906,75.27,111.45,47.35,25.58,2.48,0.0
20190716:1006,46.3,74.95,60.48,26.4,2.41,0.0
20190716:1106,52.31,82.84,71.5,26.83,2.62,0.0
20190716:1206,92.99,134.13,74.73,26.87,3.1,0.0
20190716:1306,220.1,290.84,66.66,26.06,3.31,0.0
20190716:1406,296.18,385.57,54.28,26.46,3.86,0.0
20190716:1506,306.23,398.13,40.77,26.62,3.86,0.0
20190716:1606,153.13,209.5,26.91,26.52,3.79,0.0
20190716:1706,50.18,81.71,12.95,26.21,3.72,0.0
20190716:1806,0.0,0.0,0.0,25.74,3.24,0.0
20190716:1906,0.0,0.0,0.0,25.14,2.34,0.0
20190716:2006,0.0,0.0,0.0,24.97,2.0,0.0
20190716:2106,0.0,0.0,0.0,24.86,2.0,0.0
20190716:2206,0.0,0.0,0.0,24.75,2.28,0.0
20190716:2306,0.0,0.0,0.0,24.62,2.41,0.0
20190717:0006,0.0,0.0,0.0,24.56,2.41,0.0
20190717:0106,0.0,0.0,0.0,24.5,2.41,0.0
20190717:0206,0.0,0.0,0.0,24.36,2.41,0.0
20190717:0306,0.0,0.0,0.0,24.23,2.34,0.0
20190717:0406,0.0,0.0,0.0,24.14,2.41,0.0
20190717:0506,0.0,0.0,0.0,24.06,2.48,0.0
20190717:0606,13.38,30.02,5.69,24.06,2.76,0.0
20190717:0706,133.71,201.27,19.65,24.92,2.62,0.0
20190717:0806,307.34,404.37,33.61,25.88,2.9,0.0
20190717:0906,418.23,544.09,47.37,26.78,2.48,0.0
20190717:1006,567.3,746.54,60.53,27.34,2.21,0.0
20190717:1106,631.41,838.21,71.62,27.85,2.41,0.0
20190717:1206,256.12,339.86,74.9,28.21,2.97,0.0
20190717:1306,594.42,777.84,66.78,28.31,3.59,0.0
20190717:1406,527.85,683.37,54.36,28.36,4.07,0.0
20190717:1506,389.88,504.61,40.83,27.76,4.41,0.0
20190717:1606,212.46,289.51,26.94,27.04,4.48,0.0
20190717:1706,62.36,108.86,12.97,26.45,4.41,0.0
20190717:1806,0.0,0.0,0.0,25.86,4.62,0.0
20190717:1906,0.0,0.0,0.0,25.38,4.14,0.0
20190717:2006,0.0,0.0,0.0,25.09,4.34,0.0
20190717:2106,0.0,0.0,0.0,24.92,4.28,0.0
20190717:2206,0.0,0.0,0.0,24.78,4.14,0.0
20190717:2306,0.0,0.0,0.0,24.73,4.21,0.0
20190718:0006,0.0,0.0,0.0,24.66,4.14,0.0
20190718:0106,0.0,0.0,0.0,24.65,4.34,0.0
20190718:0206,0.0,0.0,0.0,24.59,4.76,0.0
20190718:0306,0.0,0.0,0.0,24.6,4.9,0.0
20190718:0406,0.0,0.0,0.0,24.55,4.76,0.0
20190718:0506,0.0,0.0,0.0,24.48,4.55,0.0
20190718:0606,12.06,28.27,5.65,24.49,4.69,0.0
20190718:0706,85.96,125.25,19.64,25.09,5.24,0.0
20190718:0806,184.62,245.64,33.61,25.81,5.17,0.0
20190718:0906,252.44,329.57,47.39,26.5,5.1,0.0
20190718:1006,238.21,313.07,60.59,27.01,5.1,0.0
20190718:1106,311.43,405.28,71.74,27.43,5.24,0.0
20190718:1206,119.24,166.68,75.07,27.58,5.38,0.0
20190718:1306,205.46,272.2,66.89,26.88,5.45,0.0
20190718:1406,102.38,144.98,54.43,26.32,5.79,0.0
20190718:1506,139.35,190.19,40.87,26.25,5.93,0.0
20190718:1606,216.12,292.47,26.97,26.27,6.07,0.0
20190718:1706,62.37,108.18,12.98,26.12,5.45,0.0
20190718:1806,0.0,0.0,0.0,25.66,5.1,0.0
20190718:1906,0.0,0.0,0.0,25.13,4.76,0.0
20190718:2006,0.0,0.0,0.0,24.93,4.48,0.0
20190718:2106,0.0,0.0,0.0,24.87,4.21,0.0
20190718:2206,0.0,0.0,0.0,24.89,4.07,0.0
20190718:2306,0.0,0.0,0.0,24.88,4.07,0.0
20190719:0006,0.0,0.0,0.0,24.85,4.07,0.0
20190719:0106,0.0,0.0,0.0,24.76,4.28,0.0
20190719:0206,0.0,0.0,0.0,24.58,4.34,0.0
20190719:0306,0.0,0.0,0.0,24.49,4.48,0.0
20190719:0406,0.0,0.0,0.0,24.37,4.21,0.0
20190719:0506,0.0,0.0,0.0,24.43,4.07,0.0
20190719:0606,10.22,25.0,5.62,24.51,4.0,0.0
20190719:0706,61.88,94.37,19.62,25.14,4.48,0.0
20190719:0806,172.86,231.47,33.61,25.96,4.83,0.0
20190719:0906,254.64,332.42,47.41,26.55,5.03,0.0
20190719:1006,162.05,218.95,60.65,26.88,4.9,0.0
20190719:1106,123.12,171.61,71.86,27.57,4.76,0.0
20190719:1206,238.4,314.42,75.25,27.59,4.9,0.0
20190719:1306,381.37,493.72,67.01,27.23,4.83,0.0
20190719:1406,467.86,598.95,54.51,27.14,5.45,0.0
20190719:1506,258.63,337.13,40.92,26.71,5.52,0.0
20190719:1606,218.14,296.46,27.0,26.46,4.76,0.0
20190719:1706,49.46,80.36,12.99,25.84,4.97,0.0
20190719:1806,0.0,0.0,0.0,25.43,4.55,0.0
20190719:1906,0.0,0.0,0.0,25.11,3.59,0.0
20190719:2006,0.0,0.0,0.0,25.03,3.45,0.0
20190719:2106,0.0,0.0,0.0,24.97,2.9,0.0
20190719:2206,0.0,0.0,0.0,24.91,2.83,0.0
20190719:2306,0.0,0.0,0.0,24.79,3.03,0.0
20190720:0006,0.0,0.0,0.0,24.66,3.24,0.0
20190720:0106,0.0,0.0,0.0,24.6,3.59,0.0
20190720:0206,0.0,0.0,0.0,24.41,3.86,0.0
20190720:0306,0.0,0.0,0.0,24.25,4.0,0.0
20190720:0406,0.0,0.0,0.0,24.13,3.66,0.0
20190720:0506,0.0,0.0,0.0,24.26,3.59,0.0
20190720:0606,12.46,28.76,5.59,24.2,3.45,0.0
20190720:0706,76.67,113.13,19.6,24.77,3.72,0.0
20190720:0806,192.35,254.61,33.61,25.25,4.97,0.0
20190720:0906,80.39,117.36,47.44,25.35,5.17,0.0
20190720:1006,80.16,117.36,60.71,25.75,4.41,0.0
20190720:1106,119.14,165.69,72.0,26.11,4.41,0.0
20190720:1206,174.69,233.74,75.43,26.12,4.83,0.0
20190720:1306,408.82,524.45,67.13,25.65,4.9,0.0
20190720:1406,441.37,561.03,54.58,24.91,5.03,0.0
20190720:1506,321.38,413.34,40.97,24.86,4.0,0.0
20190720:1606,127.53,175.94,27.03,25.07,3.59,0.0
20190720:1706,33.33,57.72,13.0,24.83,3.31,0.0
20190720:1806,0.0,0.0,0.0,24.75,3.1,0.0
20190720:1906,0.0,0.0,0.0,24.43,3.66,0.0
20190720:2006,0.0,0.0,0.0,24.37,3.52,0.0
20190720:2106,0.0,0.0,0.0,24.29,3.1,0.0
20190720:2206,0.0,0.0,0.0,24.32,3.03,0.0
20190720:2306,0.0,0.0,0.0,24.39,2.97,0.0
20190721:0006,0.0,0.0,0.0,24.26,3.24,0.0
20190721:0106,0.0,0.0,0.0,24.25,3.31,0.0
20190721:0206,0.0,0.0,0.0,24.22,3.03,0.0
20190721:0306,0.0,0.0,0.0,24.26,2.9,0.0
20190721:0406,0.0,0.0,0.0,24.14,2.83,0.0
20190721:0506,0.0,0.0,0.0,24.0,2.9,0.0
20190721:0606,8.22,21.7,5.56,23.93,2.76,0.0
20190721:0706,126.46,183.51,19.59,24.39,3.38,0.0
20190721:0806,177.48,236.88,33.62,25.21,3.79,0.0
20190721:0906,201.79,267.47,47.47,26.11,4.0,0.0
20190721:1006,468.9,605.71,60.78,26.84,4.07,0.0
20190721:1106,662.38,860.51,72.13,27.25,4.28,0.0
20190721:1206,676.22,880.07,75.61,27.51,4.41,0.0
20190721:1306,629.51,813.88,67.25,27.32,4.48,0.0
20190721:1406,532.13,682.01,54.65,27.14,4.69,0.0
20190721:1506,408.03,525.21,41.01,27.18,4.69,0.0
20190721:1606,230.26,314.26,27.05,26.58,4.62,0.0
20190721:1706,62.42,111.86,13.01,26.28,5.1,0.0
20190721:1806,0.0,0.0,0.0,25.73,4.69,0.0
20190721:1906,0.0,0.0,0.0,25.22,3.86,0.0
20190721:2006,0.0,0.0,0.0,24.97,3.52,0.0
20190721:2106,0.0,0.0,0.0,24.9,3.31,0.0
20190721:2206,0.0,0.0,0.0,24.84,3.17,0.0
20190721:2306,0.0,0.0,0.0,24.75,3.1,0.0
20190722:0006,0.0,0.0,0.0,24.68,3.03,0.0
20190722:0106,0.0,0.0,0.0,24.43,3.1,0.0
20190722:0206,0.0,0.0,0.0,24.17,3.24,0.0
20190722:0306,0.0,0.0,0.0,24.1,3.45,0.0
20190722:0406,0.0,0.0,0.0,24.11,3.59,0.0
20190722:0506,0.0,0.0,0.0,24.06,3.52,0.0
20190722:0606,11.85,27.99,5.53,24.02,3.03,0.0
20190722:0706,128.82,188.19,19.58,24.68,2.83,0.0
20190722:0806,263.71,345.55,33.62,25.37,3.31,0.0
20190722:0906,358.86,465.04,47.5,26.22,3.1,0.0
20190722:1006,585.29,762.66,60.85,27.01,3.03,0.0
20190722:1106,622.63,816.83,72.27,27.24,3.17,0.0
20190722:1206,561.76,735.24,75.81,27.53,3.52,0.0
20190722:1306,605.9,788.5,67.38,27.77,4.0,0.0
20190722:1406,552.32,709.87,54.73,27.17,4.34,0.0
20190722:1506,412.9,531.55,41.06,26.96,4.41,0.0
20190722:1606,233.87,318.37,27.07,26.14,4.55,0.0
20190722:1706,62.97,113.32,13.01,25.69,4.34,0.0
20190722:1806,0.0,0.0,0.0,25.16,3.72,0.0
20190722:1906,0.0,0.0,0.0,25.09,4.0,0.0
20190722:2006,0.0,0.0,0.0,24.84,3.93,0.0
20190722:2106,0.0,0.0,0.0,24.74,3.93,0.0
20190722:2206,0.0,0.0,0.0,24.8,3.79,0.0
20190722:2306,0.0,0.0,0.0,24.69,3.66,0.0
20190723:0006,0.0,0.0,0.0,24.43,3.66,0.0
20190723:0106,0.0,0.0,0.0,24.3,3.66,0.0
20190723:0206,0.0,0.0,0.0,24.25,3.86,0.0
20190723:0306,0.0,0.0,0.0,24.11,3.59,0.0
20190723:0406,0.0,0.0,0.0,23.86,3.45,0.0
20190723:0506,0.0,0.0,0.0,23.61,3.31,0.0
20190723:0606,2.11,10.85,5.5,23.71,2.55,0.0
20190723:0706,74.29,110.21,19.57,24.52,2.55,0.0
20190723:0806,193.88,258.36,33.64,25.38,2.48,0.0
20190723:0906,404.72,522.96,47.54,25.71,2.76,0.0
20190723:1006,232.71,306.3,60.92,25.7,3.03,0.0
20190723:1106,126.64,175.55,72.42,26.32,2.9,0.0
20190723:1206,83.66,122.29,76.0,26.49,3.03,0.0
20190723:1306,237.29,313.33,67.5,27.03,3.66,0.0
20190723:1406,265.5,346.92,54.8,26.56,4.28,0.0
20190723:1506,230.78,303.13,41.1,26.5,4.69,0.0
20190723:1606,163.96,222.47,27.09,26.19,4.69,0.0
20190723:1706,59.16,95.78,13.01,25.79,4.62,0.0
20190723:1806,0.0,0.0,0.0,25.3,4.0,0.0
20190723:1906,0.0,0.0,0.0,25.15,3.38,0.0
20190723:2006,0.0,0.0,0.0,24.98,3.24,0.0
20190723:2106,0.0,0.0,0.0,24.85,3.03,0.0
20190723:2206,0.0,0.0,0.0,24.67,2.9,0.0
20190723:2306,0.0,0.0,0.0,24.56,2.62,0.0
20190724:0006,0.0,0.0,0.0,24.48,2.62,0.0
20190724:0106,0.0,0.0,0.0,24.46,2.48,0.0
20190724:0206,0.0,0.0,0.0,24.25,2.34,0.0
20190724:0306,0.0,0.0,0.0,24.18,2.34,0.0
20190724:0406,0.0,0.0,0.0,24.07,2.28,0.0
20190724:0506,0.0,0.0,0.0,23.98,2.21,0.0
20190724:0606,12.52,28.69,5.48,23.8,2.14,0.0
20190724:0706,99.62,143.57,19.56,24.39,2.28,0.0
20190724:0806,171.27,229.85,33.65,25.01,2.41,0.0
20190724:0906,89.46,129.2,47.58,25.76,2.62,0.0
20190724:1006,93.95,135.12,61.0,26.44,2.9,0.0
20190724:1106,505.32,659.56,72.57,26.96,3.24,0.0
20190724:1206,462.37,603.34,76.2,27.32,3.52,0.0
20190724:1306,604.48,788.27,67.62,27.58,3.66,0.0
20190724:1406,235.5,311.62,54.87,27.66,3.86,0.0
20190724:1506,106.36,150.9,41.14,27.46,4.21,0.0
20190724:1606,236.64,323.49,27.11,26.96,4.28,0.0
20190724:1706,63.54,113.91,13.01,26.45,4.0,0.0
20190724:1806,0.0,0.0,0.0,25.85,3.52,0.0
20190724:1906,0.0,0.0,0.0,25.11,3.17,0.0
20190724:2006,0.0,0.0,0.0,24.89,3.24,0.0
20190724:2106,0.0,0.0,0.0,24.75,3.31,0.0
20190724:2206,0.0,0.0,0.0,24.67,3.66,0.0
20190724:2306,0.0,0.0,0.0,24.6,3.72,0.0
20190725:0006,0.0,0.0,0.0,24.54,3.79,0.0
20190725:0106,0.0,0.0,0.0,24.5,3.72,0.0
20190725:0206,0.0,0.0,0.0,24.46,3.66,0.0
20190725:0306,0.0,0.0,0.0,24.41,3.59,0.0
20190725:0406,0.0,0.0,0.0,24.35,3.38,0.0
20190725:0506,0.0,0.0,0.0,24.26,3.52,0.0
20190725:0606,11.56,27.24,5.45,24.3,3.31,0.0
20190725:0706,97.0,139.66,19.56,24.38,3.59,0.0
20190725:0806,196.78,260.29,33.66,24.79,3.66,0.0
20190725:0906,242.1,316.84,47.62,25.51,3.52,0.0
20190725:1006,94.13,135.12,61.08,26.17,3.24,0.0
20190725:1106,581.47,759.87,72.72,26.71,3.17,0.0
20190725:1206,325.87,426.82,76.41,27.48,3.45,0.0
20190725:1306,134.14,184.43,67.74,25.94,3.1,0.0
20190725:1406,404.86,521.06,54.94,26.07,4.07,0.0
20190725:1506,415.46,531.45,41.18,26.32,4.97,0.0
20190725:1606,205.38,277.24,27.13,26.29,4.48,0.0
20190725:1706,32.42,56.76,13.01,25.94,3.79,0.0
20190725:1806,0.0,0.0,0.0,25.53,4.0,0.0
20190725:1906,0.0,0.0,0.0,25.19,3.31,0.0
20190725:2006,0.0,0.0,0.0,25.0,3.24,0.0
20190725:2106,0.0,0.0,0.0,24.87,3.1,0.0
20190725:2206,0.0,0.0,0.0,24.85,3.31,0.0
20190725:2306,0.0,0.0,0.0,24.78,3.79,0.0
20190726:0006,0.0,0.0,0.0,24.73,4.0,0.0
20190726:0106,0.0,0.0,0.0,24.7,4.0,0.0
20190726:0206,0.0,0.0,0.0,24.64,4.07,0.0
20190726:0306,0.0,0.0,0.0,24.64,4.21,0.0
20190726:0406,0.0,0.0,0.0,24.6,4.0,0.0
20190726:0506,0.0,0.0,0.0,24.54,3.86,0.0
20190726:0606,6.99,19.72,5.43,24.47,3.52,0.0
20190726:0706,130.06,190.34,19.56,24.71,3.17,0.0
20190726:0806,262.38,343.41,33.68,25.14,3.24,0.0
20190726:0906,334.47,432.49,47.66,25.33,3.03,0.0
20190726:1006,228.11,300.4,61.16,25.76,3.24,0.0
20190726:1106,105.97,149.91,72.88,26.46,3.52,0.0
20190726:1206,69.43,104.54,76.62,26.99,4.28,0.0
20190726:1306,94.47,135.12,67.86,25.62,3.72,0.0
20190726:1406,177.26,236.7,55.0,25.58,4.07,0.0
20190726:1506,69.84,104.54,41.21,25.88,4.41,0.0
20190726:1606,87.04,126.03,27.14,25.96,4.62,0.0
20190726:1706,37.2,63.22,13.0,25.61,4.83,0.0
20190726:1806,0.0,0.0,0.0,25.22,4.34,0.0
20190726:1906,0.0,0.0,0.0,24.86,4.0,0.0
20190726:2006,0.0,0.0,0.0,24.64,3.86,0.0
20190726:2106,0.0,0.0,0.0,24.49,3.72,0.0
20190726:2206,0.0,0.0,0.0,24.49,3.93,0.0
20190726:2306,0.0,0.0,0.0,24.52,3.86,0.0
20190727:0006,0.0,0.0,0.0,24.54,3.86,0.0
20190727:0106,0.0,0.0,0.0,24.45,3.79,0.0
20190727:0206,0.0,0.0,0.0,24.33,3.86,0.0
20190727:0306,0.0,0.0,0.0,24.45,4.34,0.0
20190727:0406,0.0,0.0,0.0,24.31,4.14,0.0
20190727:0506,0.0,0.0,0.0,24.22,3.66,0.0
20190727:0606,8.01,21.47,5.41,24.29,3.59,0.0
20190727:0706,8.81,22.68,19.56,24.49,3.24,0.0
20190727:0806,112.92,157.63,33.7,25.05,3.1,0.0
20190727:0906,181.74,242.37,47.71,25.56,3.66,0.0
20190727:1006,178.25,238.67,61.25,26.41,4.34,0.0
20190727:1106,290.66,378.63,73.04,26.84,4.83,0.0
20190727:1206,60.49,92.71,76.83,25.71,4.55,0.0
20190727:1306,106.42,149.91,67.98,25.87,4.28,0.0
20190727:1406,304.63,394.85,55.07,26.65,5.03,0.0
20190727:1506,236.02,308.84,41.24,26.07,4.83,0.0
20190727:1606,190.72,256.2,27.15,25.52,4.83,0.0
20190727:1706,49.77,80.63,12.99,25.46,4.97,0.0
20190727:1806,0.0,0.0,0.0,25.17,4.41,0.0
20190727:1906,0.0,0.0,0.0,25.19,4.48,0.0
20190727:2006,0.0,0.0,0.0,24.98,4.48,0.0
20190727:2106,0.0,0.0,0.0,24.88,4.34,0.0
20190727:2206,0.0,0.0,0.0,24.87,4.14,0.0
20190727:2306,0.0,0.0,0.0,24.76,4.07,0.0
20190728:0006,0.0,0.0,0.0,24.6,4.14,0.0
20190728:0106,0.0,0.0,0.0,24.39,3.86,0.0
20190728:0206,0.0,0.0,0.0,24.34,3.72,0.0
20190728:0306,0.0,0.0,0.0,24.23,3.79,0.0
20190728:0406,0.0,0.0,0.0,24.38,3.59,0.0
20190728:0506,0.0,0.0,0.0,24.41,3.59,0.0
20190728:0606,0.03,5.92,5.4,24.1,3.17,0.0
20190728:0706,8.8,22.68,19.56,24.58,3.66,0.0
20190728:0806,30.14,53.26,33.72,24.97,3.66,0.0
20190728:0906,35.96,61.15,47.76,25.63,3.59,0.0
20190728:1006,47.06,75.94,61.34,26.81,4.55,0.0
20190728:1106,61.32,93.69,73.21,25.39,3.79,0.0
20190728:1206,55.13,85.8,77.05,25.32,4.21,0.0
20190728:1306,200.12,265.3,68.11,26.17,4.48,0.0
20190728:1406,247.26,324.17,55.13,26.87,4.83,0.0
20190728:1506,340.07,437.6,41.27,26.22,4.9,0.0
20190728:1606,152.93,208.15,27.16,25.87,4.28,0.0
20190728:1706,12.57,28.6,12.98,25.48,4.0,0.0
20190728:1806,0.0,0.0,0.0,25.27,4.34,0.0
20190728:1906,0.0,0.0,0.0,25.06,4.14,0.0
20190728:2006,0.0,0.0,0.0,24.92,4.41,0.0
20190728:2106,0.0,0.0,0.0,24.84,4.69,0.0
20190728:2206,0.0,0.0,0.0,24.79,4.62,0.0
20190728:2306,0.0,0.0,0.0,24.8,4.28,0.0
20190729:0006,0.0,0.0,0.0,24.71,4.14,0.0
20190729:0106,0.0,0.0,0.0,24.6,4.07,0.0
20190729:0206,0.0,0.0,0.0,24.5,4.0,0.0
20190729:0306,0.0,0.0,0.0,24.44,3.86,0.0
20190729:0406,0.0,0.0,0.0,24.43,3.79,0.0
20190729:0506,0.0,0.0,0.0,24.43,3.66,0.0
20190729:0606,0.0,3.94,5.38,24.44,3.38,0.0
20190729:0706,38.39,64.11,19.56,24.65,3.31,0.0
20190729:0806,143.96,195.43,33.75,24.85,3.52,0.0
20190729:0906,254.61,332.03,47.81,25.42,3.66,0.0
20190729:1006,230.1,302.39,61.43,25.8,3.79,0.0
20190729:1106,464.54,601.56,73.38,26.36,3.86,0.0
20190729:1206,402.03,521.0,77.27,26.65,4.14,0.0
20190729:1306,552.5,711.36,68.23,25.5,3.93,0.0
20190729:1406,425.47,545.17,55.19,25.34,4.07,0.0
20190729:1506,267.85,347.23,41.3,25.35,4.48,0.0
20190729:1606,82.64,120.32,27.16,25.46,4.14,0.0
20190729:1706,35.5,60.72,12.97,25.38,3.79,0.0
20190729:1806,0.0,0.0,0.0,24.66,3.86,0.0
20190729:1906,0.0,0.0,0.0,25.01,3.66,0.0
20190729:2006,0.0,0.0,0.0,24.93,3.52,0.0
20190729:2106,0.0,0.0,0.0,24.82,3.17,0.0
20190729:2206,0.0,0.0,0.0,24.79,3.1,0.0
20190729:2306,0.0,0.0,0.0,24.64,3.31,0.0
20190730:0006,0.0,0.0,0.0,24.52,3.31,0.0
20190730:0106,0.0,0.0,0.0,24.45,3.45,0.0
20190730:0206,0.0,0.0,0.0,24.53,3.45,0.0
20190730:0306,0.0,0.0,0.0,24.21,3.24,0.0
20190730:0406,0.0,0.0,0.0,24.06,3.03,0.0
20190730:0506,0.0,0.0,0.0,24.07,2.83,0.0
20190730:0606,8.02,21.5,5.37,24.12,2.76,0.0
20190730:0706,133.33,194.59,19.57,24.79,3.45,0.0
20190730:0806,315.65,411.34,33.77,25.27,3.52,0.0
20190730:0906,308.9,400.63,47.86,26.08,3.72,0.0
20190730:1006,449.38,578.58,61.53,26.15,4.21,0.0
20190730:1106,616.56,798.56,73.56,26.81,4.41,0.0
20190730:1206,599.7,777.72,77.5,27.3,4.69,0.0
20190730:1306,589.41,760.03,68.34,27.2,4.97,0.0
20190730:1406,459.21,589.97,55.25,27.25,5.1,0.0
20190730:1506,370.21,475.75,41.33,26.76,5.17,0.0
20190730:1606,206.72,278.2,27.16,26.55,5.31,0.0
20190730:1706,65.09,108.11,12.95,26.09,5.24,0.0
20190730:1806,0.0,0.0,0.0,25.49,4.9,0.0
20190730:1906,0.0,0.0,0.0,24.95,4.14,0.0
20190730:2006,0.0,0.0,0.0,24.84,4.07,0.0
20190730:2106,0.0,0.0,0.0,24.79,3.86,0.0
20190730:2206,0.0,0.0,0.0,24.62,3.72,0.0
20190730:2306,0.0,0.0,0.0,24.46,3.59,0.0
